,Dates_list,Dates
199,2016-04-17,4/17/2016
200,2016-04-18,4/18/2016
201,2016-04-19,4/19/2016
202,2016-04-20,4/20/2016
203,2016-04-21,4/21/2016
204,2016-04-22,4/22/2016
205,2016-04-23,4/23/2016
206,2016-04-24,4/24/2016
207,2016-04-25,4/25/2016
208,2016-04-26,4/26/2016
209,2016-04-27,4/27/2016
210,2016-04-28,4/28/2016
211,2016-04-29,4/29/2016
212,2016-04-30,4/30/2016
213,2016-05-01,5/1/2016
214,2016-05-02,5/2/2016
215,2016-05-03,5/3/2016
216,2016-05-04,5/4/2016
217,2016-05-05,5/5/2016
218,2016-05-06,5/6/2016
219,2016-05-07,5/7/2016
220,2016-05-08,5/8/2016
221,2016-05-09,5/9/2016
222,2016-05-10,5/10/2016
223,2016-05-11,5/11/2016
224,2016-05-12,5/12/2016
225,2016-05-13,5/13/2016
226,2016-05-14,5/14/2016
227,2016-05-15,5/15/2016
228,2016-05-16,5/16/2016
229,2016-05-17,5/17/2016
230,2016-05-18,5/18/2016
231,2016-05-19,5/19/2016
232,2016-05-20,5/20/2016
233,2016-05-21,5/21/2016
234,2016-05-22,5/22/2016
235,2016-05-23,5/23/2016
236,2016-05-24,5/24/2016
237,2016-05-25,5/25/2016
238,2016-05-26,5/26/2016
239,2016-05-27,5/27/2016
240,2016-05-28,5/28/2016
241,2016-05-29,5/29/2016
242,2016-05-30,5/30/2016
243,2016-05-31,5/31/2016
244,2016-06-01,6/1/2016
245,2016-06-02,6/2/2016
246,2016-06-03,6/3/2016
247,2016-06-04,6/4/2016
248,2016-06-05,6/5/2016
249,2016-06-06,6/6/2016
250,2016-06-07,6/7/2016
251,2016-06-08,6/8/2016
252,2016-06-09,6/9/2016
253,2016-06-10,6/10/2016
254,2016-06-11,6/11/2016
255,2016-06-12,6/12/2016
256,2016-06-13,6/13/2016
257,2016-06-14,6/14/2016
258,2016-06-15,6/15/2016
259,2016-06-16,6/16/2016
260,2016-06-17,6/17/2016
261,2016-06-18,6/18/2016
262,2016-06-19,6/19/2016
263,2016-06-20,6/20/2016
264,2016-06-21,6/21/2016
265,2016-06-22,6/22/2016
266,2016-06-23,6/23/2016
267,2016-06-24,6/24/2016
268,2016-06-25,6/25/2016
269,2016-06-26,6/26/2016
270,2016-06-27,6/27/2016
271,2016-06-28,6/28/2016
272,2016-06-29,6/29/2016
273,2016-06-30,6/30/2016
274,2016-07-01,7/1/2016
275,2016-07-02,7/2/2016
276,2016-07-03,7/3/2016
277,2016-07-04,7/4/2016
278,2016-07-05,7/5/2016
279,2016-07-06,7/6/2016
280,2016-07-07,7/7/2016
281,2016-07-08,7/8/2016
282,2016-07-09,7/9/2016
283,2016-07-10,7/10/2016
284,2016-07-11,7/11/2016
285,2016-07-12,7/12/2016
286,2016-07-13,7/13/2016
287,2016-07-14,7/14/2016
288,2016-07-15,7/15/2016
289,2016-07-16,7/16/2016
290,2016-07-17,7/17/2016
291,2016-07-18,7/18/2016
292,2016-07-19,7/19/2016
293,2016-07-20,7/20/2016
294,2016-07-21,7/21/2016
295,2016-07-22,7/22/2016
296,2016-07-23,7/23/2016
297,2016-07-24,7/24/2016
298,2016-07-25,7/25/2016
299,2016-07-26,7/26/2016
300,2016-07-27,7/27/2016
301,2016-07-28,7/28/2016
302,2016-07-29,7/29/2016
303,2016-07-30,7/30/2016
304,2016-07-31,7/31/2016
305,2016-08-01,8/1/2016
306,2016-08-02,8/2/2016
307,2016-08-03,8/3/2016
308,2016-08-04,8/4/2016
309,2016-08-05,8/5/2016
310,2016-08-06,8/6/2016
311,2016-08-07,8/7/2016
312,2016-08-08,8/8/2016
313,2016-08-09,8/9/2016
314,2016-08-10,8/10/2016
315,2016-08-11,8/11/2016
316,2016-08-12,8/12/2016
317,2016-08-13,8/13/2016
318,2016-08-14,8/14/2016
319,2016-08-15,8/15/2016
320,2016-08-16,8/16/2016
321,2016-08-17,8/17/2016
322,2016-08-18,8/18/2016
323,2016-08-19,8/19/2016
324,2016-08-20,8/20/2016
325,2016-08-21,8/21/2016
326,2016-08-22,8/22/2016
327,2016-08-23,8/23/2016
328,2016-08-24,8/24/2016
329,2016-08-25,8/25/2016
330,2016-08-26,8/26/2016
331,2016-08-27,8/27/2016
332,2016-08-28,8/28/2016
333,2016-08-29,8/29/2016
334,2016-08-30,8/30/2016
335,2016-08-31,8/31/2016
336,2016-09-01,9/1/2016
337,2016-09-02,9/2/2016
338,2016-09-03,9/3/2016
339,2016-09-04,9/4/2016
340,2016-09-05,9/5/2016
341,2016-09-06,9/6/2016
342,2016-09-07,9/7/2016
343,2016-09-08,9/8/2016
344,2016-09-09,9/9/2016
345,2016-09-10,9/10/2016
346,2016-09-11,9/11/2016
347,2016-09-12,9/12/2016
348,2016-09-13,9/13/2016
349,2016-09-14,9/14/2016
350,2016-09-15,9/15/2016
351,2016-09-16,9/16/2016
352,2016-09-17,9/17/2016
353,2016-09-18,9/18/2016
354,2016-09-19,9/19/2016
355,2016-09-20,9/20/2016
356,2016-09-21,9/21/2016
357,2016-09-22,9/22/2016
358,2016-09-23,9/23/2016
359,2016-09-24,9/24/2016
360,2016-09-25,9/25/2016
361,2016-09-26,9/26/2016
362,2016-09-27,9/27/2016
363,2016-09-28,9/28/2016
364,2016-09-29,9/29/2016
365,2016-09-30,9/30/2016
