BASIN,A,B,C,D,E,F,G,H
A,1,0,1,0,1,1,0,1
B,0,1,1,0,1,1,0,1
C,0,0,1,0,1,1,0,1
D,0,0,0,1,1,1,0,1
E,0,0,0,0,1,1,0,1
F,0,0,0,0,0,1,0,1
G,0,0,0,0,0,0,1,1
H,0,0,0,0,0,0,0,1
