,10/1/1995,10/2/1995,10/3/1995,10/4/1995,10/5/1995
A1,0,0,0,0,0
A10,0,0,0,0,0
A11,0,0,0,0,0
A2,0,0,0,0,0
A3,0,0,0,0,0
A4,0,0,0,0,0
A5,0,0,0,0,0
A6,0,0,0,0,0
A7,0,0,0,0,0
A8,0,0,0,0,0
A9,0,0,0,0,0
